,molecule_chembl_id,pIC50,smile,ROMol,MW,HBA,HBD,LogP,rule_of_five_conform
93,CHEMBL3965262,9.47,C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(C)cc3)nn21,<rdkit.Chem.rdchem.Mol object at 0x000001D696637BA0>,401.18517497600004,5,3,3.4869200000000014,yes
94,CHEMBL91980,9.46,Nc1ccc2c(Nc3cccc(I)c3)ncnc2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637C10>,362.00284435200007,4,2,3.560200000000001,yes
95,CHEMBL4860398,9.46,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCN/C(=N\C#N)Nc4ccncc4)cc23)c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637C80>,534.2491722000001,8,3,5.236280000000004,no
96,CHEMBL163369,9.46,OCCN(CCO)CCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637CF0>,460.1222361400001,8,4,2.6194999999999995,yes
97,CHEMBL4098072,9.46,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637D60>,475.14782416400004,6,3,5.876400000000004,yes
98,CHEMBL603266,9.44,O=C(Cn1sccc1=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637DD0>,455.00515778799996,7,2,3.9978000000000016,yes
99,CHEMBL3360618,9.43,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCn1ccnc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001D696637E40>,512.080765252,9,1,5.108400000000004,no
100,CHEMBL4540303,9.43,COc1cc2c(Nc3ccc(C)c(Br)c3)ncnc2cc1OCCOCCNC(=O)Cn1cnc([N+](=O)[O-])n1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637EB0>,600.1080426200001,12,2,3.1644200000000016,no
101,CHEMBL599863,9.43,O=C(CNC(=O)Oc1ccccc1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637F20>,491.0593015360001,6,3,4.863000000000003,yes
102,CHEMBL3895468,9.43,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC12COCC1C2,<rdkit.Chem.rdchem.Mol object at 0x000001D696637F90>,511.178645624,7,2,4.637500000000003,yes
